sample,point,F1,F2,dominance_rank
0,1,0.02,0.68,1
0,2,0.093,0.607,1
0,3,0.167,0.533,1
0,4,0.24,0.46,1
0,5,0.313,0.387,1
0,6,0.387,0.313,1
0,7,0.46,0.24,1
0,8,0.533,0.167,1
0,9,0.607,0.093,1
0,10,0.68,0.02,1
1,1,0.024463,0.839925,1
1,2,0.158463,0.75204,1
1,3,0.254203,0.666658,1
1,4,0.340431,0.584296,1
1,5,0.422661,0.503412,1
1,6,0.503412,0.422661,1
1,7,0.584296,0.340431,1
1,8,0.666658,0.254203,1
1,9,0.75204,0.158463,1
1,10,0.839925,0.024463,1
2,1,0.01625,0.98375,1
2,2,0.182388,0.817612,1
2,3,0.282726,0.717274,1
2,4,0.372252,0.627748,1
2,5,0.457795,0.542205,1
2,6,0.542205,0.457795,1
2,7,0.627748,0.372252,1
2,8,0.717274,0.282726,1
2,9,0.817612,0.182388,1
2,10,0.98375,0.01625,1
3,1,0.0,1.0,1
3,2,0.173289,0.826711,1
3,3,0.278344,0.721656,1
3,4,0.369999,0.630001,1
3,5,0.457089,0.542911,1
3,6,0.542911,0.457089,1
3,7,0.630001,0.369999,1
3,8,0.721656,0.278344,1
3,9,0.826711,0.173289,1
3,10,1.0,0.0,1
4,1,0.0,1.0,1
4,2,0.171543,0.828457,1
4,3,0.277131,0.722869,1
4,4,0.369281,0.630719,1
4,5,0.45685,0.54315,1
4,6,0.54315,0.45685,1
4,7,0.630719,0.369281,1
4,8,0.722869,0.277131,1
4,9,0.828457,0.171543,1
4,10,1.0,0.0,1
5,1,0.0,1.0,1
5,2,0.171196,0.828804,1
5,3,0.276885,0.723115,1
5,4,0.369134,0.630866,1
5,5,0.456802,0.543198,1
5,6,0.543198,0.456802,1
5,7,0.630866,0.369134,1
5,8,0.723115,0.276885,1
5,9,0.828804,0.171196,1
5,10,1.0,0.0,1
6,1,0.0,1.0,1
6,2,0.171126,0.828874,1
6,3,0.276836,0.723164,1
6,4,0.369105,0.630895,1
6,5,0.456792,0.543208,1
6,6,0.543208,0.456792,1
6,7,0.630895,0.369105,1
6,8,0.723164,0.276836,1
6,9,0.828874,0.171126,1
6,10,1.0,0.0,1
7,1,0.0,1.0,1
7,2,0.171112,0.828888,1
7,3,0.276826,0.723174,1
7,4,0.369099,0.630901,1
7,5,0.45679,0.54321,1
7,6,0.54321,0.45679,1
7,7,0.630901,0.369099,1
7,8,0.723174,0.276826,1
7,9,0.828888,0.171112,1
7,10,1.0,0.0,1
8,1,0.0,1.0,1
8,2,0.171109,0.828891,1
8,3,0.276824,0.723176,1
8,4,0.369098,0.630902,1
8,5,0.45679,0.54321,1
8,6,0.54321,0.45679,1
8,7,0.630902,0.369098,1
8,8,0.723176,0.276824,1
8,9,0.828891,0.171109,1
8,10,1.0,0.0,1
